date,time,open,high,low,close,volume,turnover,settlement,open_interest
2010/04/16,0,3450.0,3488.0,3413.2,3415.6,48988.0,50538805320.0,3431.2,2702.0
2010/04/19,0,3396.0,3398.0,3166.2,3197.4,109733.0,108206412240.0,3201.2,3954.0
2010/04/20,0,3209.2,3240.0,3168.8,3214.6,141862.0,136342090260.0,3216.6,4496.0
2010/04/21,0,3215.0,3281.2,3208.0,3267.2,114531.0,111267894900.0,3266.0,5062.0
2010/04/22,0,3260.2,3274.4,3211.0,3236.2,133247.0,129629807580.0,3240.0,5383.0
2010/04/23,0,3241.0,3266.0,3221.0,3221.2,116981.0,113886815340.0,3235.6,5808.0
2010/04/26,0,3243.0,3252.0,3211.8,3219.6,112229.0,108949727760.0,3224.8,7079.0
2010/04/27,0,3201.2,3205.0,3107.6,3138.8,139961.0,132007160220.0,3121.8,7386.0
2010/04/28,0,3101.6,3142.6,3094.2,3129.0,128530.0,120470298960.0,3132.8,7092.0
2010/04/29,0,3141.0,3157.6,3082.2,3083.8,116254.0,109415653800.0,3114.4,8705.0
2010/04/30,0,3103.0,3119.6,3043.0,3107.0,184157.0,170310301560.0,3089.8,8297.0
2010/05/04,0,3079.8,3094.4,3060.8,3076.4,150123.0,138591347640.0,3069.4,8261.0
2010/05/05,0,3046.4,3087.0,3031.0,3076.4,145542.0,133493198400.0,3078.6,9600.0
2010/05/06,0,3078.6,3083.4,2953.6,2967.4,170221.0,154506808620.0,2972.6,10150.0
2010/05/07,0,2928.0,2959.8,2862.2,2897.6,240106.0,209597905020.0,2896.0,8282.0
2010/05/10,0,2910.0,2931.0,2870.0,2918.0,201919.0,175917197580.0,2912.0,9873.0
2010/05/11,0,2949.0,2957.8,2797.2,2801.6,224626.0,194325112440.0,2816.4,8987.0
2010/05/12,0,2809.0,2855.0,2782.0,2836.2,273131.0,231214055220.0,2829.2,8144.0
2010/05/13,0,2847.8,2915.6,2823.0,2894.6,217422.0,186684124080.0,2902.8,8276.0
2010/05/14,0,2880.0,2894.8,2850.4,2862.6,185453.0,159865825860.0,2861.2,6237.0
2010/05/17,0,2840.0,2840.2,2708.0,2719.0,117625.0,97865068800.0,2727.6,4126.0
2010/05/18,0,2711.8,2848.0,2708.4,2810.4,261582.0,217321893000.0,2818.2,11428.0
2010/05/19,0,2779.2,2859.0,2734.2,2784.8,340531.0,285893705400.0,2798.0,12817.0
2010/05/20,0,2801.0,2844.8,2742.2,2763.2,293133.0,245427271020.0,2761.2,14774.0
2010/05/21,0,2702.0,2802.8,2677.0,2801.0,307325.0,253016880540.0,2789.0,13329.0
2010/05/24,0,2814.0,2933.4,2808.0,2902.0,300512.0,260913834480.0,2908.6,15770.0
2010/05/25,0,2880.0,2889.2,2811.0,2813.2,288927.0,247386085680.0,2833.6,15644.0
2010/05/26,0,2846.2,2878.8,2817.6,2839.6,326246.0,278374416960.0,2829.0,15219.0
2010/05/27,0,2825.0,2909.8,2790.0,2901.4,325500.0,277922283960.0,2896.4,16397.0
2010/05/28,0,2930.0,2942.0,2853.0,2865.2,306690.0,266372949120.0,2869.8,16764.0
2010/05/31,0,2850.0,2898.8,2786.2,2792.0,337678.0,288432453780.0,2811.8,18662.0
2010/06/01,0,2780.0,2820.6,2732.0,2762.0,420130.0,349613435400.0,2760.6,17746.0
2010/06/02,0,2758.0,2781.4,2718.2,2776.4,343923.0,284048065440.0,2762.0,18691.0
2010/06/03,0,2799.8,2807.0,2741.0,2748.0,342961.0,285871068720.0,2762.8,18712.0
2010/06/04,0,2740.0,2767.8,2722.2,2761.0,324387.0,267206428320.0,2755.6,16354.0
2010/06/07,0,2700.0,2718.0,2680.0,2706.2,289681.0,234726771300.0,2704.8,15673.0
2010/06/08,0,2709.8,2726.0,2683.0,2724.4,225087.0,182970962340.0,2699.4,16526.0
2010/06/09,0,2720.4,2808.0,2700.4,2788.8,314559.0,258644958840.0,2786.0,16740.0
2010/06/10,0,2776.0,2791.0,2763.0,2769.6,232630.0,193539405960.0,2772.0,14040.0
2010/06/11,0,2788.0,2796.8,2765.0,2765.8,169575.0,141499445520.0,2773.0,10034.0
2010/06/17,0,2779.0,2784.4,2743.0,2744.2,29949.0,24881302020.0,2754.4,4417.0
2010/06/18,0,2762.4,2779.0,2705.8,2718.2,249981.0,206537988360.0,2727.4,19752.0
